GEOCOD;POP;X;Y
353060713000027;491;-46,146;-23,513
353060713000028;742;-46,143;-23,514
353060713000029;870;-46,123;-23,519
353060713000030;622;-46,118;-23,528
353060713000031;574;-46,156;-23,500
353060713000032;403;-46,147;-23,502
353060713000033;0;-46,153;-23,511
353060713000034;1315;-46,147;-23,523
353060713000035;666;-46,140;-23,514
353060713000036;565;-46,139;-23,519
353060713000037;869;-46,138;-23,520
353060713000038;18;-46,129;-23,511
353060713000039;67;-46,118;-23,518
353060713000040;48;-46,119;-23,502
353060713000041;4;-46,115;-23,507
353060715000001;818;-46,259;-23,544
353060715000002;774;-46,255;-23,545
353060715000016;1689;-46,253;-23,553
353060715000017;1462;-46,258;-23,551
353060715000018;1342;-46,261;-23,551
353060715000019;627;-46,273;-23,549
353060715000020;1507;-46,268;-23,543
353060715000021;921;-46,263;-23,547
353060715000022;811;-46,261;-23,547
353060715000023;1325;-46,256;-23,548
353060715000024;1387;-46,265;-23,564
353060715000025;1108;-46,238;-23,566
353060715000026;1122;-46,233;-23,578
353060715000027;1303;-46,229;-23,581
353060715000028;1205;-46,231;-23,586
353060715000003;941;-46,251;-23,545
353060715000004;743;-46,247;-23,545
353060715000005;1067;-46,245;-23,546
353060715000006;900;-46,244;-23,549
353060715000007;1658;-46,242;-23,548
353060715000008;1239;-46,240;-23,550
353060715000009;773;-46,238;-23,555
353060715000010;1919;-46,241;-23,554
353060715000011;1472;-46,243;-23,553
353060715000012;812;-46,246;-23,549
353060715000013;1356;-46,245;-23,552
353060715000014;1168;-46,249;-23,554
353060715000015;892;-46,251;-23,551
353060715000029;1350;-46,243;-23,583
353060715000030;296;-46,242;-23,584
353060715000031;792;-46,248;-23,552
353060715000032;1211;-46,246;-23,555
353060715000033;773;-46,264;-23,543
353060715000034;1435;-46,247;-23,602
353060715000035;1306;-46,252;-23,612
353060715000036;1059;-46,234;-23,613
353060715000037;1052;-46,224;-23,607
353060715000038;989;-46,251;-23,548
353060715000039;894;-46,248;-23,548
353060715000040;816;-46,243;-23,546
353060715000041;741;-46,246;-23,550
353060715000042;1440;-46,262;-23,553
353060715000043;364;-46,265;-23,548
353060715000044;590;-46,259;-23,548
353060715000045;968;-46,259;-23,538
353060715000046;2;-46,252;-23,593
353060715000047;767;-46,254;-23,608
353060717000001;1115;-46,242;-23,697
353060717000002;59;-46,241;-23,650
353060717000003;395;-46,224;-23,673
353060717000004;579;-46,254;-23,682
353060717000005;286;-46,241;-23,647
